perfil,modulo,puede_ver,puede_crear,puede_editar,puede_eliminar
ADMINISTRADOR,INICIO,true,false,false,false
ADMINISTRADOR,PERSONAS,true,true,true,true
ADMINISTRADOR,EQUIPOS,true,true,true,true
ADMINISTRADOR,CURSOS,true,true,true,true
ADMINISTRADOR,MADUREZ,true,true,true,true
ADMINISTRADOR,OBJETIVOS,true,true,true,true
ADMINISTRADOR,PORTAFOLIO,true,true,true,true
ADMINISTRADOR,CATALOGOS,true,true,true,true
ADMINISTRADOR,USUARIOS,true,true,true,true
ADMINISTRADOR,MIGRACIONES,true,true,true,true
ADMINISTRADOR,AUDITORIA,true,false,false,false
USUARIO,INICIO,true,false,false,false
USUARIO,PERSONAS,true,false,false,false
USUARIO,EQUIPOS,true,false,false,false
USUARIO,CURSOS,true,false,false,false
USUARIO,MADUREZ,true,true,true,false
USUARIO,OBJETIVOS,true,true,true,false
USUARIO,PORTAFOLIO,true,true,true,false
USUARIO,CATALOGOS,false,false,false,false
USUARIO,USUARIOS,false,false,false,false
USUARIO,MIGRACIONES,false,false,false,false
USUARIO,AUDITORIA,false,false,false,false
