VALOR_ORIGEN,CODIGO_DESTINO,CONTEO,RESULTADO,OBSERVACION
1/0,BOOLEANO,1187,NORMALIZADO,
%,PORCENTAJE,982,NORMALIZADO,
USD,USD,395,NORMALIZADO,
$/Kg,USD_KG,151,NORMALIZADO,
Tn,TONELADA,88,NORMALIZADO,
FCL,FCL,60,NORMALIZADO,
Ha,HECTAREA,56,NORMALIZADO,
MM $,MILLONES_USD,52,NORMALIZADO,
1,NUMERO,50,NORMALIZADO,
Und,UNIDAD,47,NORMALIZADO,
MM$,MILLONES_USD,38,NORMALIZADO,
$/KgDrw,USD_KG_DW,32,NORMALIZADO,
$/kg,USD_KG,29,NORMALIZADO,
$/Ha,USD_HA,28,NORMALIZADO,
Fcl,FCL,24,NORMALIZADO,
m2,METRO_CUADRADO,24,NORMALIZADO,
MMKg,MILLONES_KILOGRAMOS,24,NORMALIZADO,
TN,TONELADA,24,NORMALIZADO,
$/Kgdw,USD_KG_DW,20,NORMALIZADO,
Unidad,UNIDAD,20,NORMALIZADO,
$ K,MILES_USD,19,NORMALIZADO,
MM USD,MILLONES_USD,19,NORMALIZADO,
$/KgDw,USD_KG_DW,17,NORMALIZADO,
$/Kgmp,USD_KG_MMPP,16,NORMALIZADO,
KG,KILOGRAMO,15,NORMALIZADO,
$ MM,MILLONES_USD,12,NORMALIZADO,
$/Kg Dw,USD_KG_DW,12,NORMALIZADO,
Kg,KILOGRAMO,12,NORMALIZADO,
Tn/Ha,TONELADA_HA,12,NORMALIZADO,
tn,TONELADA,11,NORMALIZADO,
USD (M),MILLONES_USD,11,NORMALIZADO,
días,DIA,10,NORMALIZADO,
MM KG,MILLONES_KILOGRAMOS,10,NORMALIZADO,
personas,PERSONA,10,NORMALIZADO,
$,USD,9,NORMALIZADO,
$/kgDw,USD_KG_DW,9,NORMALIZADO,
tn exp,TONELADA_EXPORTADA,9,NORMALIZADO,
UNIDAD,UNIDAD,9,NORMALIZADO,
USD M,MILLONES_USD,9,NORMALIZADO,
$/kgmmpp,USD_KG_MMPP,8,NORMALIZADO,
L/S,LITROS_SEGUNDO,8,NORMALIZADO,
Miles $,MILES_USD,8,NORMALIZADO,
MM Kgmmpp,MILLONES_KG_MMPP,8,NORMALIZADO,
tn/ha,TONELADA_HA,8,NORMALIZADO,
$K,MILES_USD,7,NORMALIZADO,
"MM Kg 
exp",MILLONES_KG_EXPORTADOS,7,NORMALIZADO,
Trabajadores,PERSONA,7,NORMALIZADO,
USD (K),MILES_USD,7,NORMALIZADO,
$/ha,USD_HA,6,NORMALIZADO,
$/Kg/Dw,USD_KG_DW,6,NORMALIZADO,
Kg/Ha,KILOGRAMO_HA,6,NORMALIZADO,
Tn/Sem,TONELADA_SEMANA,6,NORMALIZADO,
und,UNIDAD,6,NORMALIZADO,
$MM,MILLONES_USD,5,NORMALIZADO,
Has,HECTAREA,5,NORMALIZADO,
kg/ha,KILOGRAMO_HA,5,NORMALIZADO,
$/kgdw,USD_KG_DW,4,NORMALIZADO,
Fcls,FCL,4,NORMALIZADO,
fcls,FCL,4,NORMALIZADO,
K $,MILES_USD,4,NORMALIZADO,
Miles,MILES,4,NORMALIZADO,
Millar,MILLAR,4,NORMALIZADO,
MM Kg,MILLONES_KILOGRAMOS,4,NORMALIZADO,
PP,PUNTOS_PORCENTUALES,4,NORMALIZADO,
Ton/sem,TONELADA_SEMANA,4,NORMALIZADO,
Días,DIA,3,NORMALIZADO,
h,HORA,3,NORMALIZADO,
k $,MILES_USD,3,NORMALIZADO,
K$,MILES_USD,3,NORMALIZADO,
MM kg,MILLONES_KILOGRAMOS,3,NORMALIZADO,
Otros,OTRO,3,NORMALIZADO,
SKU,SKU,3,NORMALIZADO,
Cargadores/planta,CARGADORES_PLANTA,2,NORMALIZADO,
fcl,FCL,2,NORMALIZADO,
M $/ha,MILES_USD_HA,2,NORMALIZADO,
Mil M3,MILES_METROS_CUBICOS,2,NORMALIZADO,
min,MINUTO,2,NORMALIZADO,
min/cosech,MINUTO_COSECHADOR,2,NORMALIZADO,
Mm kg exp,MILLONES_KG_EXPORTADOS,2,NORMALIZADO,
Nivel,NIVEL,2,NORMALIZADO,
Racimos/planta,RACIMOS_PLANTA,2,NORMALIZADO,
t/día,TONELADA_DIA,2,NORMALIZADO,
tn/sem,TONELADA_SEMANA,2,NORMALIZADO,
unidad,UNIDAD,2,NORMALIZADO,
USD/Kgdw,USD_KG_DW,2,NORMALIZADO,
$/KG,USD_KG,1,NORMALIZADO,
-,SIN_UNIDAD,1,NORMALIZADO,
2026-02-01 00:00:00,,1,REVISAR,Fecha registrada como unidad
FLC,FCL,1,NORMALIZADO,FLC interpretado como FCL
frutos/planta,FRUTOS_PLANTA,1,NORMALIZADO,
g,GRAMO,1,NORMALIZADO,
h/día,HORA_DIA,1,NORMALIZADO,
h/sem,HORA_SEMANA,1,NORMALIZADO,
Hrs,HORA,1,NORMALIZADO,
Iniciativas,INICIATIVA,1,NORMALIZADO,
K kg,MILES_KILOGRAMOS,1,NORMALIZADO,
K USD,MILES_USD,1,NORMALIZADO,
Kg/jornal,KILOGRAMO_JORNAL,1,NORMALIZADO,
kg/Jr,KILOGRAMO_JORNAL,1,NORMALIZADO,
mil USD,MILES_USD,1,NORMALIZADO,
min/cosechador,MINUTO_COSECHADOR,1,NORMALIZADO,
Mll,MILLONES,1,NORMALIZADO,
MM,MILLONES,1,NORMALIZADO,
Mujeres,PERSONA,1,NORMALIZADO,
Niños,PERSONA,1,NORMALIZADO,
t,TONELADA,1,NORMALIZADO,
Tn exp,TONELADA_EXPORTADA,1,NORMALIZADO,
UND,UNIDAD,1,NORMALIZADO,
US$,USD,1,NORMALIZADO,
